ID                                        0x89b
Delivery_person_ID               CHENRES20DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.975996
Restaurant_longitude                  80.221898
Delivery_location_latitude            13.045996
Delivery_location_longitude           80.291898
Order_Date                           16-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         24:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 8176, dtype: object
