ID                                       0x6e79
Delivery_person_ID                JAPRES02DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   26.914142
Restaurant_longitude                  75.805704
Delivery_location_latitude            26.944142
Delivery_location_longitude           75.835704
Order_Date                           03-04-2022
Time_Orderd                               19:55
Time_Order_picked                         20:10
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 38380, dtype: object
