ID                                       0x9dd2
Delivery_person_ID             RANCHIRES14DEL02
Delivery_person_Age                       35.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           12-03-2022
Time_Orderd                               20:45
Time_Order_picked                         20:60
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                          47.00
Name: 5955, dtype: object
