ID                                     0xc1cd
Delivery_person_ID             AURGRES14DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 19.875016
Restaurant_longitude                75.322405
Delivery_location_latitude          19.915016
Delivery_location_longitude         75.362405
Order_Date                         13-02-2022
Time_Orderd                             16:10
Time_Order_picked                       16:25
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 41557, dtype: object
