ID                                       0xbf55
Delivery_person_ID                ALHRES05DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   25.457687
Restaurant_longitude                  81.835585
Delivery_location_latitude            25.567687
Delivery_location_longitude           81.945585
Order_Date                           18-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         20:10
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 33096, dtype: object
