ID                                    0xdee4
Delivery_person_ID             KNPRES20DEL03
Delivery_person_Age                    36.00
Delivery_person_Ratings                 4.10
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.53
Delivery_location_longitude            80.41
Order_Date                        13-02-2022
Time_Orderd                            19:50
Time_Order_picked                      19:60
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       38.00
Name: 23585, dtype: object
