ID                                       0x3fca
Delivery_person_ID               BANGRES02DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.970221
Restaurant_longitude                  77.645396
Delivery_location_latitude            13.100221
Delivery_location_longitude           77.775396
Order_Date                           25-03-2022
Time_Orderd                               19:55
Time_Order_picked                         20:10
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 30788, dtype: object
