ID                                     0x91f3
Delivery_person_ID             INDORES19DEL03
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.745536
Restaurant_longitude                75.893106
Delivery_location_latitude          22.805536
Delivery_location_longitude         75.953106
Order_Date                         30-03-2022
Time_Orderd                             21:40
Time_Order_picked                       21:55
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    11.000000
Name: 20088, dtype: object
