ID                                       0x3a01
Delivery_person_ID             RANCHIRES02DEL03
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.10
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           19-03-2022
Time_Orderd                               20:20
Time_Order_picked                         20:30
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        2.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          44.00
Name: 9854, dtype: object
