ID                                       0xbed4
Delivery_person_ID               CHENRES17DEL03
Delivery_person_Age                   21.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   13.045479
Restaurant_longitude                  80.233110
Delivery_location_latitude            13.105479
Delivery_location_longitude           80.293110
Order_Date                           01-04-2022
Time_Orderd                               18:30
Time_Order_picked                         18:40
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 7143, dtype: object
