ID                                    0xd54e
Delivery_person_ID             GOARES15DEL01
Delivery_person_Age                 26.00000
Delivery_person_Ratings              4.60000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.52315
Delivery_location_longitude         73.79346
Order_Date                        11-02-2022
Time_Orderd                             9:40
Time_Order_picked                       9:50
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                  0.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    10.00000
Name: 17037, dtype: object
