ID                                     0xc6dc
Delivery_person_ID             ALHRES010DEL02
Delivery_person_Age                     39.00
Delivery_person_Ratings                  4.40
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.13
Delivery_location_longitude              0.13
Order_Date                         18-02-2022
Time_Orderd                             19:35
Time_Order_picked                       19:50
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        37.00
Name: 13161, dtype: object
