ID                                      0x845a
Delivery_person_ID             COIMBRES20DEL01
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.034136
Delivery_location_longitude          77.003303
Order_Date                          24-03-2022
Time_Orderd                              16:60
Time_Order_picked                        17:15
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 25336, dtype: object
