ID                                     0xbc65
Delivery_person_ID             BANGRES16DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 13.029198
Restaurant_longitude                77.570997
Delivery_location_latitude          13.159198
Delivery_location_longitude         77.700997
Order_Date                         04-04-2022
Time_Orderd                             21:25
Time_Order_picked                       21:30
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                  Yes
City                                    Urban
Time_taken (min)                    42.000000
Name: 3705, dtype: object
