ID                                     0x4fb
Delivery_person_ID             MUMRES02DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -19.221315
Restaurant_longitude              -72.862381
Delivery_location_latitude         19.231315
Delivery_location_longitude        72.872381
Order_Date                        19-03-2022
Time_Orderd                              NaN
Time_Order_picked                       9:45
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 19599, dtype: object
