ID                                     0xcafc
Delivery_person_ID             LUDHRES08DEL02
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.899992
Restaurant_longitude                75.831338
Delivery_location_latitude          31.029992
Delivery_location_longitude         75.961338
Order_Date                         14-02-2022
Time_Orderd                             20:20
Time_Order_picked                       20:25
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    43.000000
Name: 40067, dtype: object
