ID                                    0xcaca
Delivery_person_ID             GOARES18DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                15.493950
Restaurant_longitude               73.827423
Delivery_location_latitude         15.533950
Delivery_location_longitude        73.867423
Order_Date                        13-02-2022
Time_Orderd                            15:55
Time_Order_picked                      15:60
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 41863, dtype: object
