ID                                       0xdf18
Delivery_person_ID                BHPRES18DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.234631
Restaurant_longitude                  77.401663
Delivery_location_latitude            23.244631
Delivery_location_longitude           77.411663
Order_Date                           15-02-2022
Time_Orderd                               11:40
Time_Order_picked                         11:45
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 3209, dtype: object
