ID                                    0x72dd
Delivery_person_ID             JAPRES19DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.913726
Restaurant_longitude               75.752820
Delivery_location_latitude         27.043726
Delivery_location_longitude        75.882820
Order_Date                        04-04-2022
Time_Orderd                            22:30
Time_Order_picked                      22:45
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 14737, dtype: object
