ID                                        0xbc2
Delivery_person_ID               INDORES07DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.722634
Restaurant_longitude                  75.886959
Delivery_location_latitude            22.742634
Delivery_location_longitude           75.906959
Order_Date                           15-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:45
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 31345, dtype: object
