ID                                      0x3f13
Delivery_person_ID             COIMBRES03DEL03
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.115083
Delivery_location_longitude          77.105393
Order_Date                          02-03-2022
Time_Orderd                              20:20
Time_Order_picked                        20:25
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     35.000000
Name: 2193, dtype: object
