ID                                     0xb324
Delivery_person_ID             SURRES010DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.241060
Delivery_location_longitude         72.859292
Order_Date                         23-03-2022
Time_Orderd                             23:10
Time_Order_picked                       23:15
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 9556, dtype: object
