ID                                      0x6d8d
Delivery_person_ID             COIMBRES15DEL01
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.116686
Delivery_location_longitude          77.061736
Order_Date                          12-03-2022
Time_Orderd                              18:30
Time_Order_picked                        18:35
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 40989, dtype: object
