ID                                     0xc8a1
Delivery_person_ID             AGRRES010DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 27.163303
Restaurant_longitude                78.057044
Delivery_location_latitude          27.183303
Delivery_location_longitude         78.077044
Order_Date                         15-02-2022
Time_Orderd                             10:40
Time_Order_picked                       10:45
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 29396, dtype: object
