ID                                    0xcdea
Delivery_person_ID             KNPRES17DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                26.483042
Restaurant_longitude               80.317833
Delivery_location_latitude         26.503042
Delivery_location_longitude        80.337833
Order_Date                        17-02-2022
Time_Orderd                             9:15
Time_Order_picked                       9:25
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 30791, dtype: object
