ID                                     0x9ddf
Delivery_person_ID             BANGRES09DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.934179
Restaurant_longitude                77.615797
Delivery_location_latitude          13.014179
Delivery_location_longitude         77.695797
Order_Date                         14-03-2022
Time_Orderd                             20:50
Time_Order_picked                       20:60
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 2455, dtype: object
