ID                                      0x434e
Delivery_person_ID             COIMBRES09DEL02
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.088638
Delivery_location_longitude          77.064311
Order_Date                          06-03-2022
Time_Orderd                              18:10
Time_Order_picked                        18:15
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     39.000000
Name: 13609, dtype: object
