ID                                     0xc72f
Delivery_person_ID             AURGRES02DEL01
Delivery_person_Age                     36.00
Delivery_person_Ratings                  4.20
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         18-02-2022
Time_Orderd                             18:55
Time_Order_picked                       19:05
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                        39.00
Name: 5134, dtype: object
