ID                                       0x3c5c
Delivery_person_ID             RANCHIRES09DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.351058
Restaurant_longitude                  85.325731
Delivery_location_latitude            23.361058
Delivery_location_longitude           85.335731
Order_Date                           19-03-2022
Time_Orderd                               11:30
Time_Order_picked                         11:45
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      22.000000
Name: 13411, dtype: object
