ID                                       0xc343
Delivery_person_ID                AGRRES13DEL03
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   27.159795
Restaurant_longitude                  78.042990
Delivery_location_latitude            27.249795
Delivery_location_longitude           78.132990
Order_Date                           16-02-2022
Time_Orderd                               20:35
Time_Order_picked                         20:50
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 14061, dtype: object
