ID                                     0xde9d
Delivery_person_ID             LUDHRES08DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              3.000000
Restaurant_latitude                 30.899992
Restaurant_longitude                75.831338
Delivery_location_latitude          31.009992
Delivery_location_longitude         75.941338
Order_Date                         14-02-2022
Time_Orderd                             22:40
Time_Order_picked                       22:50
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 6931, dtype: object
