ID                                     0x8da1
Delivery_person_ID             CHENRES11DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 13.064181
Restaurant_longitude                80.236442
Delivery_location_latitude          13.174181
Delivery_location_longitude         80.346442
Order_Date                         04-04-2022
Time_Orderd                             18:20
Time_Order_picked                       18:35
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 44984, dtype: object
