ID                                        0x57b
Delivery_person_ID               INDORES08DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.725748
Restaurant_longitude                  75.898497
Delivery_location_latitude            22.805747
Delivery_location_longitude           75.978497
Order_Date                           25-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:30
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      49.000000
Name: 9229, dtype: object
