ID                                    0x4cef
Delivery_person_ID             SURRES08DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.173343
Restaurant_longitude               72.792731
Delivery_location_latitude         21.193343
Delivery_location_longitude        72.812731
Order_Date                        28-03-2022
Time_Orderd                            11:35
Time_Order_picked                      11:45
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 11983, dtype: object
