ID                                     0x6e2b
Delivery_person_ID             PUNERES16DEL02
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.536718
Restaurant_longitude                73.830327
Delivery_location_latitude          18.586718
Delivery_location_longitude         73.880327
Order_Date                         09-03-2022
Time_Orderd                             21:45
Time_Order_picked                       21:60
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    29.000000
Name: 4364, dtype: object
