ID                                    0xd60e
Delivery_person_ID             DEHRES14DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                30.319528
Restaurant_longitude               78.040267
Delivery_location_latitude         30.329528
Delivery_location_longitude        78.050267
Order_Date                        17-02-2022
Time_Orderd                             9:30
Time_Order_picked                       9:35
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 7862, dtype: object
