ID                                       0x338e
Delivery_person_ID               CHENRES06DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.054347
Restaurant_longitude                  80.257221
Delivery_location_latitude            13.124347
Delivery_location_longitude           80.327221
Order_Date                           29-03-2022
Time_Orderd                               17:20
Time_Order_picked                         17:30
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 28617, dtype: object
