ID                                      0x1df6
Delivery_person_ID             COIMBRES05DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.152169
Delivery_location_longitude          77.129594
Order_Date                          04-04-2022
Time_Orderd                              20:45
Time_Order_picked                        20:50
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     51.000000
Name: 197, dtype: object
