ID                                     0x23ac
Delivery_person_ID             PUNERES08DEL01
Delivery_person_Age                  23.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.60408
Delivery_location_longitude          73.96852
Order_Date                         08-03-2022
Time_Orderd                             23:15
Time_Order_picked                       23:20
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                   0.00000
Festival                                   No
City                                    Urban
Time_taken (min)                     15.00000
Name: 3517, dtype: object
