ID                                      0xada
Delivery_person_ID             BANGRES16DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 13.029198
Restaurant_longitude                77.570997
Delivery_location_latitude          13.049198
Delivery_location_longitude         77.590997
Order_Date                         05-03-2022
Time_Orderd                             10:40
Time_Order_picked                       10:55
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 30737, dtype: object
