ID                                    0xd7fa
Delivery_person_ID             AGRRES04DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                27.195928
Restaurant_longitude               77.998092
Delivery_location_latitude         27.325928
Delivery_location_longitude        78.128092
Order_Date                        12-02-2022
Time_Orderd                            17:30
Time_Order_picked                      17:40
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   36.000000
Name: 10682, dtype: object
