ID                                       0x8d8e
Delivery_person_ID               CHENRES08DEL03
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   13.022394
Restaurant_longitude                  80.242439
Delivery_location_latitude            13.082394
Delivery_location_longitude           80.302439
Order_Date                           03-03-2022
Time_Orderd                               22:55
Time_Order_picked                         23:05
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 7055, dtype: object
