ID                                    0xc1b3
Delivery_person_ID             ALHRES02DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                25.453436
Restaurant_longitude               81.833167
Delivery_location_latitude         25.463436
Delivery_location_longitude        81.843167
Order_Date                        11-02-2022
Time_Orderd                            10:60
Time_Order_picked                      11:15
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 8116, dtype: object
