ID                                       0xc84c
Delivery_person_ID                KNPRES20DEL01
Delivery_person_Age                       20.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                       26.47
Restaurant_longitude                      80.35
Delivery_location_latitude                26.54
Delivery_location_longitude               80.42
Order_Date                           18-02-2022
Time_Orderd                               21:50
Time_Order_picked                         21:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          34.00
Name: 42383, dtype: object
