ID                                       0x674e
Delivery_person_ID               INDORES16DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.744648
Restaurant_longitude                  75.894377
Delivery_location_latitude            22.794648
Delivery_location_longitude           75.944377
Order_Date                           13-03-2022
Time_Orderd                               19:15
Time_Order_picked                         19:20
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 45436, dtype: object
