ID                                     0xd5a0
Delivery_person_ID             GOARES010DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 15.546594
Restaurant_longitude                73.760431
Delivery_location_latitude          15.586594
Delivery_location_longitude         73.800431
Order_Date                         11-02-2022
Time_Orderd                             16:20
Time_Order_picked                       16:35
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    16.000000
Name: 5795, dtype: object
