ID                                        0x5f23
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    22.000000
Delivery_person_Ratings                 4.500000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.364422
Delivery_location_longitude            85.342900
Order_Date                            03-04-2022
Time_Orderd                                10:25
Time_Order_picked                          10:30
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Buffet
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       14.000000
Name: 45119, dtype: object
