ID                                    0xb7bd
Delivery_person_ID             JAPRES06DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.911927
Restaurant_longitude               75.797282
Delivery_location_latitude         26.921927
Delivery_location_longitude        75.807282
Order_Date                        15-03-2022
Time_Orderd                             8:25
Time_Order_picked                       8:30
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 41993, dtype: object
