ID                                     0x3e9c
Delivery_person_ID             CHENRES17DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 13.045479
Restaurant_longitude                80.233110
Delivery_location_latitude          13.155479
Delivery_location_longitude         80.343110
Order_Date                         29-03-2022
Time_Orderd                             18:10
Time_Order_picked                       18:25
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 7045, dtype: object
