ID                                      0x2f86
Delivery_person_ID             COIMBRES15DEL02
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.136686
Delivery_location_longitude          77.081736
Order_Date                          20-03-2022
Time_Orderd                              21:15
Time_Order_picked                        21:30
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     26.000000
Name: 11093, dtype: object
