ID                                       0xa2f9
Delivery_person_ID             RANCHIRES13DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.404989
Delivery_location_longitude           85.365486
Order_Date                           11-03-2022
Time_Orderd                               20:15
Time_Order_picked                         20:30
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 32924, dtype: object
