ID                                    0xafcd
Delivery_person_ID             VADRES15DEL01
Delivery_person_Age                    36.00
Delivery_person_Ratings                 3.90
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        08-03-2022
Time_Orderd                            20:10
Time_Order_picked                      20:25
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       31.00
Name: 6791, dtype: object
