ID                                     0xbecf
Delivery_person_ID             CHENRES01DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.005801
Restaurant_longitude                80.250744
Delivery_location_latitude          13.045801
Delivery_location_longitude         80.290744
Order_Date                         17-03-2022
Time_Orderd                             12:30
Time_Order_picked                       12:35
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 21424, dtype: object
