ID                                    0xc57c
Delivery_person_ID             ALHRES12DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                25.443994
Restaurant_longitude               81.860187
Delivery_location_latitude         25.493994
Delivery_location_longitude        81.910187
Order_Date                        13-02-2022
Time_Orderd                            20:40
Time_Order_picked                      20:55
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   40.000000
Name: 38500, dtype: object
