ID                                    0x2fce
Delivery_person_ID             JAPRES18DEL03
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                26.913987
Restaurant_longitude               75.752891
Delivery_location_latitude         26.943987
Delivery_location_longitude        75.782891
Order_Date                        17-03-2022
Time_Orderd                            18:10
Time_Order_picked                      18:25
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   10.000000
Name: 7894, dtype: object
