ID                                    0xcddd
Delivery_person_ID             BHPRES03DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                23.214294
Restaurant_longitude               77.435361
Delivery_location_latitude         23.254294
Delivery_location_longitude        77.475361
Order_Date                        15-02-2022
Time_Orderd                            12:30
Time_Order_picked                      12:40
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   24.000000
Name: 22419, dtype: object
