ID                                       0xbf2e
Delivery_person_ID                DEHRES03DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   30.335259
Restaurant_longitude                  78.053162
Delivery_location_latitude            30.425259
Delivery_location_longitude           78.143162
Order_Date                           12-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:55
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 1223, dtype: object
