ID                                    0xc07f
Delivery_person_ID             GOARES17DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude               -15.496162
Restaurant_longitude               73.825364
Delivery_location_latitude         15.626162
Delivery_location_longitude        73.955364
Order_Date                        16-02-2022
Time_Orderd                            23:45
Time_Order_picked                      23:50
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   23.000000
Name: 18328, dtype: object
