ID                                     0xc8c3
Delivery_person_ID             LUDHRES14DEL01
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 30.892978
Restaurant_longitude                75.821847
Delivery_location_latitude          30.932978
Delivery_location_longitude         75.861847
Order_Date                         17-02-2022
Time_Orderd                             14:25
Time_Order_picked                       14:30
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    18.000000
Name: 4150, dtype: object
