ID                                     0xcdd9
Delivery_person_ID             LUDHRES09DEL02
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 30.885814
Restaurant_longitude                75.786976
Delivery_location_latitude          30.905814
Delivery_location_longitude         75.806976
Order_Date                         17-02-2022
Time_Orderd                              8:25
Time_Order_picked                        8:30
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 33311, dtype: object
