ID                                    0x85cd
Delivery_person_ID             SURRES08DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.173343
Restaurant_longitude               72.792731
Delivery_location_latitude         21.213343
Delivery_location_longitude        72.832731
Order_Date                        30-03-2022
Time_Orderd                            14:40
Time_Order_picked                      14:55
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 3216, dtype: object
