ID                                     0x4f9d
Delivery_person_ID             BANGRES18DEL02
Delivery_person_Age                 27.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          12.993041
Delivery_location_longitude         77.763237
Order_Date                         18-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:20
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 34697, dtype: object
