ID                                     0xacbe
Delivery_person_ID             CHENRES04DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.049780
Delivery_location_longitude         80.228812
Order_Date                         09-03-2022
Time_Orderd                             11:45
Time_Order_picked                       11:50
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 1675, dtype: object
