ID                                       0x602c
Delivery_person_ID                JAPRES11DEL01
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.902940
Restaurant_longitude                  75.793007
Delivery_location_latitude            26.942940
Delivery_location_longitude           75.833007
Order_Date                           05-04-2022
Time_Orderd                               14:15
Time_Order_picked                         14:20
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 40576, dtype: object
